x,y,red,blue,light_gray
0,0,0,0,19
0,128,0,0,0
0,256,0,0,0
0,384,0,0,0
0,512,0,0,0
0,640,0,0,0
0,768,0,0,0
0,896,0,0,0
0,1024,0,0,78
176,0,0,0,17
176,128,0,0,19
176,256,0,0,0
176,384,0,0,11
176,512,1,0,0
176,640,0,0,22
176,768,0,0,0
176,896,0,0,18
176,1024,1,0,57
352,0,0,1,0
352,128,0,1,0
352,256,0,0,0
352,384,0,0,0
352,512,0,1,0
352,640,0,0,0
352,768,0,1,0
352,896,0,0,0
352,1024,0,0,75
528,0,0,0,25
528,128,0,0,24
528,256,0,0,0
528,384,0,0,22
528,512,0,0,0
528,640,0,0,14
528,768,0,0,0
528,896,0,0,25
528,1024,1,0,72
704,0,0,0,55
704,128,0,0,0
704,256,0,0,0
704,384,0,0,0
704,512,0,0,0
704,640,0,1,0
704,768,0,1,0
704,896,0,1,0
704,1024,0,0,78
880,0,0,0,33
880,128,0,0,28
880,256,0,0,0
880,384,0,0,22
880,512,0,0,0
880,640,0,0,6
880,768,0,0,0
880,896,0,0,30
880,1024,1,0,79
1056,0,0,0,40
1056,128,0,0,0
1056,256,0,1,0
1056,384,0,0,0
1056,512,0,1,0
1056,640,0,0,0
1056,768,0,1,0
1056,896,0,0,0
1056,1024,1,0,65
1232,0,0,0,3
1232,128,0,0,14
1232,256,0,0,0
1232,384,0,0,30
1232,512,0,0,0
1232,640,0,0,23
1232,768,0,0,0
1232,896,0,0,13
1232,1024,1,0,65
1408,0,0,0,0
1408,128,0,0,0
1408,256,0,0,0
1408,384,0,0,0
1408,512,0,0,0
1408,640,0,1,0
1408,768,0,1,0
1408,896,0,1,0
1408,1024,1,0,36
1584,0,0,0,0
1584,128,0,0,17
1584,256,0,0,0
1584,384,0,0,41
1584,512,0,0,0
1584,640,0,0,32
1584,768,0,0,0
1584,896,0,0,32
1584,1024,1,0,0
1760,0,0,0,0
1760,128,0,0,0
1760,256,0,0,0
1760,384,0,0,0
1760,512,0,0,0
1760,640,0,0,0
1760,768,0,0,0
1760,896,0,0,0
1760,1024,0,0,0
1936,0,0,0,0
1936,128,0,0,34
1936,256,0,0,0
1936,384,0,0,24
1936,512,0,0,0
1936,640,0,1,39
1936,768,0,0,0
1936,896,0,0,33
1936,1024,0,1,0
2112,0,0,0,0
2112,128,0,0,0
2112,256,0,0,0
2112,384,0,0,0
2112,512,0,0,0
2112,640,0,1,0
2112,768,0,0,0
2112,896,0,1,0
2112,1024,0,1,0
2288,0,0,0,0
2288,128,0,0,43
2288,256,0,0,0
2288,384,0,0,43
2288,512,0,0,0
2288,640,0,0,25
2288,768,0,0,0
2288,896,0,0,41
2288,1024,0,0,0
